Mes,CustomerID,Year_Birth,Columna Extra D,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,Columna Extra M,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response
Febrero,5376,1979,D,Graduation,Married,2447.0,1,0,2013-01-06,42,1,M,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0
Febrero,1993,1949,D,PhD,Married,58607.0,0,1,2012-12-23,63,867,M,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0
Febrero,4047,1954,D,PhD,Married,65324.0,0,1,2014-01-11,0,384,M,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0
Febrero,1409,1951,D,Graduation,Together,40689.0,0,1,2013-03-18,69,270,M,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0
Febrero,7892,1969,D,Graduation,Single,18589.0,0,0,2013-01-02,89,6,M,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0
Febrero,2404,1976,D,Graduation,Married,53359.0,1,1,2013-05-27,4,173,M,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0
Febrero,5255,1986,D,Graduation,Single,,1,0,2013-02-20,19,5,M,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,3,11,0
Febrero,9422,1989,D,Graduation,Married,38360.0,1,0,2013-05-31,26,36,M,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0
Febrero,1966,1965,D,PhD,Married,84618.0,0,0,2013-11-22,96,684,M,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0
Febrero,6864,1989,D,Master,Divorced,10979.0,0,0,2014-05-22,34,8,M,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0
Febrero,3033,1963,D,Master,Together,38620.0,0,0,2013-05-11,56,112,M,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0
Febrero,5710,1970,D,Graduation,Together,40548.0,0,1,2012-10-10,31,110,M,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0
Febrero,7373,1952,D,PhD,Divorced,46610.0,0,2,2012-10-29,8,96,M,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1
Febrero,8755,1946,D,Master,Married,68657.0,0,0,2013-02-20,4,482,M,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0
Febrero,10738,1951,D,Master,Single,49389.0,1,1,2013-08-29,55,40,M,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0
Febrero,4339,1970,D,PhD,Married,67353.0,0,1,2013-12-31,37,702,M,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0
Febrero,10755,1976,D,2n Cycle,Married,23718.0,1,0,2013-09-02,76,6,M,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0
Febrero,8595,1973,D,Graduation,Widow,42429.0,0,1,2014-02-11,99,55,M,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0
Febrero,2968,1943,D,PhD,Divorced,48948.0,0,0,2013-02-01,53,437,M,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1
Febrero,8601,1980,D,Graduation,Married,80011.0,0,1,2013-04-29,3,421,M,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0
Febrero,503,1985,D,Master,Married,20559.0,1,0,2013-03-12,88,13,M,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0
Febrero,8430,1957,D,Graduation,Together,21994.0,0,1,2012-12-24,4,9,M,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0
Febrero,7281,1959,D,PhD,Single,,0,0,2013-11-05,80,81,M,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,3,11,0
Febrero,2139,1975,D,Master,Married,7500.0,1,0,2013-10-02,19,3,M,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0
Febrero,1371,1976,D,Graduation,Single,79941.0,0,0,2014-06-28,72,123,M,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0
Febrero,9909,1996,D,2n Cycle,Married,7500.0,0,0,2012-11-09,24,3,M,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1
Febrero,7286,1968,D,Graduation,Together,41728.0,1,0,2013-05-24,92,13,M,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0
Febrero,7244,1951,D,Graduation,Single,,2,1,2014-01-01,96,48,M,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,3,11,0
Febrero,6566,1954,D,PhD,Married,72550.0,1,1,2012-11-08,39,826,M,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0
Febrero,8614,1957,D,Graduation,Widow,65486.0,0,1,2014-05-12,29,245,M,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0
Febrero,4114,1964,D,Master,Married,79143.0,0,0,2012-08-11,2,650,M,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0
Febrero,1331,1977,D,Graduation,Single,35790.0,1,0,2013-01-02,54,12,M,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0
Febrero,2225,1977,D,Graduation,Divorced,82582.0,0,0,2014-06-07,54,510,M,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1
Febrero,9381,1978,D,Graduation,Married,66373.0,1,1,2013-06-12,57,328,M,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0
Febrero,6260,1955,D,Master,Together,82384.0,0,0,2012-11-19,55,984,M,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1
Febrero,10383,1966,D,Graduation,Divorced,70287.0,0,0,2013-04-02,30,295,M,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1
Febrero,7437,1988,D,Graduation,Single,27938.0,1,0,2014-04-28,31,13,M,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0
Febrero,8557,1982,D,Graduation,Single,,1,0,2013-06-17,57,11,M,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,3,11,0
Febrero,8375,1968,D,PhD,Married,55954.0,0,1,2014-03-03,63,447,M,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0
Febrero,6853,1982,D,Master,Single,75777.0,0,0,2013-07-04,12,712,M,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1
Febrero,3076,1975,D,Graduation,Together,66653.0,1,1,2012-09-07,18,452,M,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0
Febrero,1012,1952,D,Graduation,Single,61823.0,0,1,2013-02-18,26,523,M,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0
Febrero,6518,1951,D,PhD,Widow,67680.0,0,1,2013-06-11,8,546,M,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0
Febrero,4137,1948,D,Graduation,Together,70666.0,0,0,2013-12-06,29,398,M,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0
Febrero,8082,1971,D,Graduation,Married,25721.0,1,0,2013-05-21,75,1,M,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1
Febrero,1386,1967,D,Graduation,Together,32474.0,1,1,2014-05-11,0,10,M,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0
Febrero,9369,1979,D,2n Cycle,Single,88194.0,0,1,2014-03-19,19,688,M,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1
Febrero,4477,1958,D,Graduation,Together,69096.0,0,1,2013-09-27,4,247,M,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0
Febrero,1357,1970,D,Graduation,Together,74854.0,1,2,2013-04-08,90,856,M,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0
Febrero,1402,1954,D,Master,Married,66991.0,0,0,2012-09-11,1,496,M,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0
Febrero,10629,1973,D,2n Cycle,Married,,1,0,2012-09-14,25,25,M,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,3,11,0
Febrero,6312,1959,D,Graduation,Married,65031.0,0,1,2013-03-17,29,258,M,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0
Febrero,8132,1975,D,PhD,Married,60631.0,1,1,2013-04-05,88,565,M,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0
Febrero,1050,1952,D,Graduation,Married,28332.0,0,0,2014-04-30,58,14,M,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0
Febrero,5846,1977,D,Graduation,Divorced,40246.0,1,0,2012-12-19,68,2,M,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0
Febrero,1859,1972,D,Master,Married,75251.0,0,0,2012-08-27,34,721,M,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1
Febrero,7503,1976,D,Graduation,Single,75825.0,0,0,2012-10-12,40,1032,M,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1
Febrero,10401,1976,D,2n Cycle,Together,26326.0,0,0,2013-09-04,12,1,M,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0
Febrero,1618,1965,D,Graduation,Together,56046.0,0,0,2013-01-02,9,577,M,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1
Febrero,3332,1985,D,Graduation,Single,29760.0,1,0,2012-08-29,87,64,M,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0
Febrero,2261,1969,D,Graduation,Married,26304.0,1,0,2013-06-23,5,4,M,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0
Febrero,5346,1973,D,2n Cycle,Married,23559.0,1,0,2013-07-03,87,25,M,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0
Febrero,4119,1963,D,Master,Together,38620.0,0,0,2013-05-11,56,112,M,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0
Febrero,535,1987,D,Graduation,Divorced,81361.0,0,0,2014-02-25,18,163,M,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0
Febrero,5268,1960,D,Graduation,Married,29440.0,1,1,2013-08-11,95,17,M,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0
Febrero,273,1970,D,Master,Married,36138.0,1,1,2013-07-16,48,130,M,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0
Febrero,4452,1957,D,Graduation,Single,50388.0,0,1,2014-05-28,3,292,M,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1
Febrero,8504,1973,D,Graduation,Married,79593.0,0,0,2014-05-12,70,350,M,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0
Febrero,771,1967,D,Graduation,Together,54178.0,0,1,2014-01-21,79,135,M,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0
Febrero,8996,1957,D,PhD,Married,,2,1,2012-11-19,4,230,M,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,3,11,0
Febrero,9235,1957,D,Graduation,Single,,1,1,2014-05-27,45,7,M,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0
Febrero,5798,1973,D,Master,Together,,0,0,2013-11-23,87,445,M,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,3,11,0
Febrero,11178,1972,D,Master,Single,42394.0,1,0,2014-03-23,69,15,M,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0
Febrero,2230,1970,D,PhD,Married,23626.0,1,0,2014-05-24,84,27,M,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0
Febrero,7516,1983,D,Graduation,Married,30096.0,1,0,2014-05-22,30,5,M,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0
Febrero,7247,1960,D,Graduation,Widow,47916.0,0,1,2012-11-22,72,505,M,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0
Febrero,11100,1972,D,Graduation,Divorced,51813.0,1,1,2013-04-11,37,51,M,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0
Febrero,4646,1951,D,2n Cycle,Married,78497.0,0,0,2013-12-01,44,207,M,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0
Febrero,3037,1983,D,PhD,Married,50150.0,0,0,2013-06-20,32,135,M,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0
Febrero,1473,1960,D,2n Cycle,Single,47823.0,0,1,2013-07-23,0,53,M,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0
Febrero,1016,1959,D,PhD,Single,34554.0,0,1,2014-03-30,43,41,M,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0
Febrero,4518,1979,D,Graduation,Together,85693.0,0,1,2013-04-20,59,386,M,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0
Febrero,9370,1945,D,PhD,Married,65846.0,0,0,2013-05-17,68,562,M,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0
Febrero,8908,1959,D,Graduation,Married,87195.0,0,0,2014-05-08,35,217,M,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1
Febrero,8373,1979,D,Basic,Together,24594.0,1,0,2013-12-10,94,1,M,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0
Febrero,7533,1964,D,Graduation,Married,49096.0,1,1,2013-09-24,15,144,M,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0
Febrero,2683,1969,D,Graduation,Married,52413.0,0,2,2013-02-02,56,295,M,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0
Febrero,3629,1978,D,Graduation,Single,38557.0,1,0,2012-12-19,17,76,M,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0
Febrero,10991,1960,D,Master,Married,89058.0,0,0,2012-12-07,18,454,M,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0
Febrero,5077,1979,D,Graduation,Together,77298.0,0,1,2013-11-02,46,425,M,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0
Febrero,7431,1991,D,PhD,Single,68126.0,0,0,2012-11-10,40,1332,M,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1
Febrero,3267,1963,D,Master,Together,57288.0,0,1,2014-06-25,27,527,M,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0
Febrero,999,1991,D,Graduation,Single,86037.0,0,0,2013-01-02,95,490,M,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1
Febrero,9215,1980,D,PhD,Married,43974.0,1,0,2012-12-12,19,378,M,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0
Febrero,2286,1962,D,Graduation,Single,50785.0,1,1,2013-09-10,27,64,M,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0
Febrero,1592,1970,D,Graduation,Married,90765.0,0,0,2014-01-24,25,547,M,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0
Febrero,367,1978,D,2n Cycle,Married,36550.0,1,0,2013-02-19,74,47,M,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,0
Febrero,5234,1967,D,2n Cycle,Together,30753.0,1,1,2013-07-11,85,12,M,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0
Febrero,9862,1969,D,Graduation,Together,21918.0,1,0,2013-11-14,37,1,M,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,0
Febrero,9805,1953,D,Master,Together,56129.0,0,1,2013-06-20,65,320,M,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0
Febrero,6205,1967,D,Master,Single,32557.0,1,0,2014-02-24,13,34,M,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,3,11,1
Febrero,8442,1985,D,Master,Married,19510.0,2,0,2013-09-04,63,9,M,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0
Febrero,7386,1976,D,Graduation,Divorced,30992.0,1,0,2013-04-22,83,17,M,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,3,11,0
Febrero,7215,1983,D,Graduation,Single,101970.0,0,0,2013-03-12,69,722,M,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,3,11,1
Febrero,1491,1965,D,2n Cycle,Together,71488.0,0,0,2013-02-18,87,162,M,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,3,11,0
Febrero,11071,1984,D,Graduation,Single,79607.0,0,0,2013-04-21,37,450,M,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,3,11,1
Febrero,3381,1953,D,Master,Married,54348.0,1,1,2014-06-08,51,70,M,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,3,11,0
Febrero,8268,1961,D,PhD,Married,,0,1,2013-07-11,23,352,M,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,3,11,0
Febrero,11051,1956,D,PhD,Together,77376.0,1,1,2014-05-10,72,492,M,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,3,11,0
Febrero,8026,1952,D,Graduation,Married,62998.0,0,1,2013-09-30,10,120,M,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,3,11,0
Febrero,433,1958,D,Master,Alone,61331.0,1,1,2013-03-10,42,534,M,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,3,11,0
Febrero,9597,1969,D,Graduation,Married,73448.0,0,0,2014-02-10,10,236,M,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,3,11,0
Febrero,1295,1963,D,Graduation,Married,,0,1,2013-08-11,96,231,M,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,3,11,0
Febrero,5290,1964,D,PhD,Married,41551.0,1,1,2013-08-14,51,220,M,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,3,11,0
Febrero,1685,1967,D,PhD,Together,62981.0,0,0,2013-03-17,21,796,M,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,3,11,0
Febrero,5342,1976,D,Basic,Divorced,9548.0,1,0,2012-08-08,31,0,M,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,3,11,0
Febrero,9579,1959,D,PhD,Married,33762.0,2,1,2013-07-07,61,53,M,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,3,11,0
Febrero,7660,1973,D,PhD,Alone,35860.0,1,1,2014-05-19,37,15,M,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,3,11,1
Febrero,1461,1965,D,PhD,Divorced,36921.0,1,1,2013-07-28,74,17,M,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,3,11,0
Febrero,821,1992,D,Master,Single,92859.0,0,0,2012-10-19,46,962,M,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,3,11,0
Febrero,11084,1976,D,Master,Together,65104.0,0,1,2013-11-14,4,738,M,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,3,11,1
Febrero,8690,1962,D,Graduation,Married,86111.0,0,0,2013-04-19,73,399,M,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,3,11,0
Febrero,2937,1974,D,PhD,Single,68352.0,0,1,2013-08-28,47,614,M,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,3,11,0
Febrero,9701,1988,D,Graduation,Together,41883.0,1,0,2013-03-19,13,32,M,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,3,11,0
Febrero,9949,1976,D,Graduation,Married,59809.0,0,2,2012-10-18,36,598,M,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,3,11,0
Febrero,10837,1975,D,Graduation,Married,23957.0,1,0,2012-10-28,47,2,M,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,3,11,1
Febrero,3120,1981,D,Graduation,Together,38547.0,1,0,2013-08-28,49,6,M,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,3,11,0
Febrero,5885,1973,D,2n Cycle,Married,35688.0,2,1,2012-08-22,94,73,M,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,3,11,0
Febrero,4050,1966,D,Master,Married,49605.0,0,0,2014-06-21,65,42,M,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,3,11,0
Febrero,3830,1953,D,Master,Married,59354.0,0,2,2014-04-24,59,295,M,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,3,11,0
Febrero,7987,1969,D,Graduation,Married,65747.0,0,1,2014-03-07,96,346,M,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,3,11,0
Febrero,7798,1972,D,2n Cycle,Together,46344.0,0,1,2012-12-14,28,233,M,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,3,11,0
Febrero,92,1988,D,Graduation,Alone,34176.0,1,0,2014-05-12,12,5,M,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,3,11,0
Febrero,7055,1952,D,PhD,Together,61010.0,0,1,2012-10-09,57,888,M,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,3,11,0
Febrero,10240,1949,D,Graduation,Together,69372.0,0,0,2013-02-19,10,997,M,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,3,11,1
Febrero,3025,1958,D,Graduation,Single,49967.0,0,1,2013-07-08,4,212,M,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,3,11,0
Febrero,9283,1978,D,Graduation,Single,60199.0,1,2,2013-09-12,49,8,M,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,3,11,0
Febrero,9970,1977,D,Graduation,Together,55375.0,0,1,2013-10-17,3,42,M,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,3,11,0
Febrero,2730,1955,D,Graduation,Single,80317.0,0,0,2013-08-20,64,536,M,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,3,11,0
Febrero,2795,1958,D,Master,Single,30523.0,2,1,2013-07-01,0,5,M,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,3,11,0
Febrero,9260,1945,D,PhD,Married,70356.0,0,0,2012-11-05,20,1349,M,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,3,11,0
Febrero,8182,1984,D,Graduation,Married,23228.0,1,0,2014-01-05,91,53,M,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,3,11,0
Febrero,10095,1975,D,PhD,Divorced,74165.0,0,0,2013-05-01,9,1001,M,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,3,11,0
Febrero,8475,1973,D,PhD,Married,157243.0,0,1,2014-03-01,98,20,M,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,3,11,0
Febrero,4370,1966,D,Graduation,Together,43482.0,2,1,2013-11-13,83,18,M,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,3,11,0
Febrero,10573,1953,D,Graduation,Divorced,62551.0,0,0,2013-11-18,27,125,M,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,3,11,0
